user_id,rating,book_id
9.78E+12,361,2005883
9.78E+12,5164,2261987
9.78001E+12,172,6163831
9.78001E+12,29532,6178731
9.78001E+12,33684,6280897
9.78001E+12,37569,6280935
9.78001E+12,3975,6353282
9.78001E+12,65,6380832
9.78001E+12,103,000647022X
9.78001E+12,43540,6472613
9.78001E+12,49170,6479677
9.78001E+12,133972,6480098
9.78001E+12,2966,6482074
9.78001E+12,2805,6483011
9.78001E+12,5083,6483895
9.78001E+12,5579,6483909
9.78001E+12,3908,000649045X
9.78001E+12,1832,6496431
9.78001E+12,1023,6496873
9.78001E+12,2045,000649689X
9.78001E+12,1441,000649692X
9.78001E+12,36101,6498868
9.78001E+12,7815,6499163
9.78001E+12,177,6499260
9.78001E+12,6235,6499627
9.78001E+12,194,6511481
9.78001E+12,2481,6512674
9.78001E+12,8024,6513085
9.78001E+12,6583,6514642
9.78001E+12,140,6514855
9.78001E+12,91,6545866
9.78001E+12,414,6550436
9.78001E+12,87,6551394
9.78001E+12,44179,6551815
9.78001E+12,1,000664600X
9.78001E+12,116,6754899
9.78001E+12,446,000690601X
9.78001E+12,7586,7103670
9.78001E+12,2245,7105045
9.78001E+12,9506,7111509
9.78001E+12,25692,7113803
9.78001E+12,22,7116268
9.78001E+12,350,7117531
9.78001E+12,21123,000711933X
9.78001E+12,24859,7119356
9.78001E+12,18820,7120680
9.78001E+12,23113,7120699
9.78001E+12,22155,7120818
9.78001E+12,12840,7120869
9.78001E+12,415,7120877
9.78001E+12,680,7120966
9.78001E+12,23249,7120982
9.78001E+12,525,7121008
9.78001E+12,8852,7121016
9.78001E+12,13022,7121024
9.78001E+12,13705,7121105
9.78001E+12,11110,7122586
9.78001E+12,187,7124015
9.78001E+12,3311,7126905
9.78001E+12,56781,000712774X
9.78001E+12,69,7129653
9.78001E+12,107,7130317
9.78001E+12,28,7135653
9.78001E+12,680,7136587
9.78001E+12,56,7136595
9.78001E+12,1339,7137338
9.78001E+12,2964,7149123
9.78001E+12,46,7149611
9.78001E+12,51219,7149824
9.78001E+12,78,000715030X
9.78001E+12,2095,7151241
9.78001E+12,12740,7151675
9.78001E+12,327,7153589
9.78001E+12,7514,7154844
9.78001E+12,178,7154887
9.78001E+12,183,000715805X
9.78001E+12,16561,7158513
9.78001E+12,926,7158521
9.78001E+12,11,7162995
9.78001E+12,253,7171994
9.78001E+12,49,7173024
9.78001E+12,8903,000717313X
9.78001E+12,5726,7175221
9.78001E+12,174,7178638
9.78001E+12,436,7179812
9.78001E+12,110,7179820
9.78001E+12,642,7189958
9.78001E+12,83,7190689
9.78001E+12,12,7191928
9.78001E+12,437,7195303
9.78001E+12,1956,7195710
9.78001E+12,478,7204442
9.78001E+12,709,7204469
9.78001E+12,466,7205589
9.78002E+12,6836,20199856
9.78002E+12,247,20264739
9.78002E+12,1822,20360754
9.78002E+12,2869,20442602
9.78002E+12,1446,20442807
9.78002E+12,106,20518609
9.78002E+12,313,20867409
9.78002E+12,430,23513209
9.78002E+12,204,24181900
9.78002E+12,199,002426640X
9.78003E+12,6,26995018
9.78003E+12,24,002705490X
9.78003E+12,3,27897508
9.78003E+12,39,29131693
9.78003E+12,145,29221307
9.78003E+12,277,29227968
9.78003E+12,88,30420563
9.78003E+12,95,30547741
9.78006E+12,1086,60000147
9.78006E+12,7903,60001534
9.78006E+12,599,60004509
9.78006E+12,23734,60005696
9.78006E+12,14917,006000942X
9.78006E+12,27463,006001234X
9.78006E+12,72982,60012382
9.78006E+12,924,60013133
9.78006E+12,570,60084383
9.78006E+12,12297,60085444
9.78006E+12,17583,60085495
9.78006E+12,2229,60088745
9.78006E+12,42096,60090375
9.78006E+12,20825,60092572
9.78006E+12,3544,60093749
9.78006E+12,5681,60094931
9.78006E+12,2452,60099453
9.78006E+12,260,60175648
9.78006E+12,22123,60177241
9.78006E+12,236,006019250X
9.78006E+12,18,60192771
9.78006E+12,9963,60218053
9.78006E+12,4030,60245603
9.78006E+12,10010,60256575
9.78006E+12,5191,60256753
9.78006E+12,142,60277408
9.78006E+12,713,60278420
9.78006E+12,60,60391537
9.78006E+12,5868,60502959
9.78006E+12,8738,60504080
9.78006E+12,923,60506040
9.78006E+12,4570,60507403
9.78006E+12,6812,60509058
9.78006E+12,5825,60510854
9.78006E+12,103375,60510862
9.78006E+12,2040,60511060
9.78006E+12,1164,60511109
9.78006E+12,7678,60511117
9.78006E+12,1115,60511133
9.78006E+12,3069,60511141
9.78006E+12,80225,60512806
9.78006E+12,114058,60513098
9.78006E+12,153485,60515198
9.78006E+12,43210,60515228
9.78006E+12,2409,60516054
9.78006E+12,6447,60518650
9.78006E+12,15417,60519134
9.78006E+12,19910,60521228
9.78006E+12,28568,60521996
9.78006E+12,93,60524936
9.78006E+12,2191,006052510X
9.78006E+12,73592,60525118
9.78006E+12,21578,60527986
9.78006E+12,46113,60527994
9.78006E+12,26,60529571
9.78006E+12,547207,60531045
9.78006E+12,210,60535113
9.78006E+12,10211,60539097
9.78006E+12,1736,60539259
9.78006E+12,11289,006054094X
9.78006E+12,192637,60541814
9.78006E+12,140223,60541830
9.78006E+12,7733,60541881
9.78006E+12,256,60542381
9.78006E+12,24,60543493
9.78006E+12,352,60545844
9.78006E+12,76,60546573
9.78006E+12,9875,60548282
9.78006E+12,19305,60554738
9.78006E+12,5012,60556501
9.78006E+12,2393,60556528
9.78006E+12,11432,60564784
9.78006E+12,49529,60566108
9.78006E+12,34773,006056668X
9.78006E+12,22530,60567236
9.78006E+12,2959,006057058X
